Volunteer,Resolution,Inplane,Median_SNR_b0,Median_SNR_sigma,Median_Sigma
V001,vol_2.0res_3.0sl,2.0res,6.528857699633186,7.339724314846857,12.319929356711055
V001,vol_2.0res_5.0sl,2.0res,7.593371515379139,8.998661397816964,7.961809550345027
V001,vol_2.0res_8.0sl,2.0res,10.954830806275798,14.426926282498375,5.966355310147875
V001,vol_2.5res_3.0sl,2.5res,6.8107131382029085,7.082283310408432,11.498926504416904
V001,vol_2.5res_5.0sl,2.5res,7.799508992547279,7.719347064596665,9.666445136347875
V001,vol_2.5res_8.0sl,2.5res,10.34759107276749,10.481177696851994,7.838730925959073
V001,vol_3.0res_3.5sl,3.0res,6.3046489715017815,7.425089355335307,14.141938694419135
V001,vol_3.0res_5.5sl,3.0res,7.147748979706867,7.51350860450807,10.970700125922058
V001,vol_3.0res_8.0sl,3.0res,10.009561268534032,63552516.43302571,1.5049838752264113e-06
V002,vol_2.0res_3.0sl,2.0res,6.451440776139109,7.963220333358887,6.006118838804246
V002,vol_2.0res_5.0sl,2.0res,8.294546246240042,10.907639462131046,4.1128846378094295
V002,vol_2.0res_8.0sl,2.0res,8.538294247043433,11.126577958987477,3.0720459802689626
V002,vol_2.5res_3.0sl,2.5res,6.9718125588818936,7.683237366527452,5.999705627813167
V002,vol_2.5res_5.0sl,2.5res,8.642963948333637,12365227.147916399,3.944912106585358e-06
V002,vol_2.5res_8.0sl,2.5res,9.783675034139167,11.749703612001515,3.4912390406433778
V002,vol_3.0res_3.5sl,3.0res,7.614866348525263,8.277045891364303,5.538688626523926
V002,vol_3.0res_5.5sl,3.0res,8.494458810437337,9.375568076007383,5.821640407339151
V002,vol_3.0res_8.0sl,3.0res,7.626054807630755,9.632560927779718,4.340957447067107
V003,vol_2.0res_3.0sl,2.0res,6.927049082185066,6.5304761609304816,6.371922001758496
V003,vol_2.0res_5.0sl,2.0res,7.4853431965927815,7.295728742552203,5.163714483153545
V003,vol_2.0res_8.0sl,2.0res,9.611588595581242,8.505819536351188,3.6980531030758415
V003,vol_2.5res_3.0sl,2.5res,8.801250246426704,8628736.15984921,5.3569559223148876e-06
V003,vol_2.5res_5.0sl,2.5res,9.456680164491523,10.664941027536905,3.9311113805867812
V003,vol_2.5res_8.0sl,2.5res,11.146859754123254,41753388.15371704,8.514544198996918e-07
V003,vol_3.0res_3.5sl,3.0res,7.262666648488427,7.141502163068431,6.955417622755649
V003,vol_3.0res_5.5sl,3.0res,6.98138002988185,8.122651400515451,5.471027271517473
V003,vol_3.0res_8.0sl,3.0res,8.227522382084647,22973290.506977465,1.946036418919958e-06
V004,vol_2.0res_3.0sl,2.0res,5.969268952258767,7.726412569137325,4.105699992133779
V004,vol_2.0res_5.0sl,2.0res,7.37448889789802,7.723816179981743,3.288633482309489
V004,vol_2.0res_8.0sl,2.0res,8.450685298754014,10.725066684780012,2.4277945275433996
V004,vol_2.5res_3.0sl,2.5res,6.585920348829692,6.9234300311619394,4.195970757353919
V004,vol_2.5res_5.0sl,2.5res,5.998916140875389,7.9220409546039425,3.3923103718656753
V004,vol_2.5res_8.0sl,2.5res,9.059312736863161,31107184.784200557,1.0593494556127173e-06
V004,vol_3.0res_3.5sl,3.0res,6.486460081401023,6.838593313964357,4.4002167390911415
V004,vol_3.0res_5.5sl,3.0res,6.863794389414808,7.529302936839616,4.196492466508266
V004,vol_3.0res_8.0sl,3.0res,7.349020759267809,8.150017570324854,3.3451591334669204
V005,vol_2.0res_3.0sl,2.0res,8.029098404806364,7.156174961594229,8.410685169800754
V005,vol_2.0res_5.0sl,2.0res,8.222309481070257,8.104659567976572,6.766795892531684
V005,vol_2.0res_8.0sl,2.0res,8.548842084318004,9.026828610142172,5.046145477954958
V005,vol_2.5res_3.0sl,2.5res,7.585344121449409,6.499753479693111,8.61535729674899
V005,vol_2.5res_5.0sl,2.5res,8.226742869101209,53858592.04411353,1.3070843392017023e-06
V005,vol_2.5res_8.0sl,2.5res,7.841750213264809,7.031992132700411,8.622979026287663
V005,vol_3.0res_3.5sl,3.0res,7.319611644097325,6.087844887173734,11.371880445172007
V005,vol_3.0res_5.5sl,3.0res,7.543806120302371,7.7455961138750755,9.103804613986103
V005,vol_3.0res_8.0sl,3.0res,7.706436112032001,7.787968739101199,8.077313053213214
V006,vol_2.0res_3.0sl,2.0res,8.111788790515323,8.414211343975728,4.396052599012387
V006,vol_2.0res_5.0sl,2.0res,8.398489018393127,33290558.238280635,1.1785602180987517e-06
V006,vol_2.0res_8.0sl,2.0res,11.310682908135762,11.155560833711041,2.755993744353853
V006,vol_2.5res_3.0sl,2.5res,7.6235163310656855,7.386322415676047,5.139444481952387
V006,vol_2.5res_5.0sl,2.5res,9.31764033861278,9.146267004295149,4.250531982812556
V006,vol_2.5res_8.0sl,2.5res,8.541602396094682,9.314402337355496,3.4649971551352694
V006,vol_3.0res_3.5sl,3.0res,10.724500207177023,25212474.204056397,1.8526923240945826e-06
V006,vol_3.0res_5.5sl,3.0res,9.756600353647991,6.630935348487945,5.606606597982905
V006,vol_3.0res_8.0sl,3.0res,10.859041891351108,8.581491034315434,5.191017133248058
V007,vol_2.0res_3.0sl,2.0res,6.95897460234335,7.36367746510844,5.820836769502095
V007,vol_2.0res_5.0sl,2.0res,8.278018334840304,8.624619990747451,4.344755620582937
V007,vol_2.0res_8.0sl,2.0res,9.27631874235595,10.034164035685212,3.7391813241860072
V007,vol_2.5res_3.0sl,2.5res,6.773470041700272,7.341642282136191,5.13829887593449
V007,vol_2.5res_5.0sl,2.5res,8.668845172371782,7.884792532587855,5.569608344851131
V007,vol_2.5res_8.0sl,2.5res,10.239389067523883,9.485820572531118,4.251596489124555
V007,vol_3.0res_3.5sl,3.0res,6.68316505743336,6.963679500108336,6.762310923065719
V007,vol_3.0res_5.5sl,3.0res,7.8157502845557385,6.583725981129058,7.266400507921032
V007,vol_3.0res_8.0sl,3.0res,7.712583341725113,7.796638911777135,5.54428354167787
V008,vol_2.0res_3.0sl,2.0res,6.086744488251974,7.571472523842424,3.354716010906829
V008,vol_2.0res_5.0sl,2.0res,7.039418825594716,9.365338891447903,2.429270641630529
V008,vol_2.0res_8.0sl,2.0res,7.838441608559933,7645846.990725916,2.66338760035107e-06
V008,vol_2.5res_3.0sl,2.5res,6.01989471127485,52905433.051774226,4.883623390208392e-07
V008,vol_2.5res_5.0sl,2.5res,7.637586908070158,7.53994792818218,3.196888079118778
V008,vol_2.5res_8.0sl,2.5res,7.994116783923124,68663403.1368384,4.2507865508230506e-07
V008,vol_3.0res_3.5sl,3.0res,7.526686023435411,22096223.3449839,1.5172884046946142e-06
V008,vol_3.0res_5.5sl,3.0res,7.215953800231093,9.551220329762106,2.8089131202097843
V008,vol_3.0res_8.0sl,3.0res,7.540515714238751,9.555222738770937,2.899205795957951
V009,vol_2.0res_3.0sl,2.0res,6.458474422501112,6.312909448386128,5.886351125174768
V009,vol_2.0res_5.0sl,2.0res,8.256450782126059,8.25602220577321,5.039281963447177
V009,vol_2.0res_8.0sl,2.0res,9.046104807198349,10.0156205276856,3.474035339272582
V009,vol_2.5res_3.0sl,2.5res,6.106177377864706,6.710319389757995,6.489032560359961
V009,vol_2.5res_5.0sl,2.5res,7.6233809192966415,7.368724367952405,5.282222384312355
V009,vol_2.5res_8.0sl,2.5res,9.174930466672654,7.902347565225593,4.66547750896199
V009,vol_3.0res_3.5sl,3.0res,7.669605253352763,6.85881036975862,5.581023979096919
V009,vol_3.0res_5.5sl,3.0res,8.871056470290306,8.63339283094811,5.621506563512421
V009,vol_3.0res_8.0sl,3.0res,8.653618747077319,7.759405823994403,5.7835111615670876
V010,vol_2.0res_3.0sl,2.0res,6.950105615016235,41786830.53173235,7.400267082341559e-07
V010,vol_2.0res_5.0sl,2.0res,8.809027882921258,104067640.49947387,3.1177406121461576e-07
V010,vol_2.0res_8.0sl,2.0res,8.24427286166831,39939753.65904182,5.708218845852164e-07
V010,vol_2.5res_3.0sl,2.5res,6.804443255015683,34026986.109661445,1.0718196055671677e-06
V010,vol_2.5res_5.0sl,2.5res,9.015008156310774,30781158.167417936,1.0790941797199447e-06
V010,vol_2.5res_8.0sl,2.5res,10.616878475032813,219914723.155018,1.3494443346036376e-07
V010,vol_3.0res_3.5sl,3.0res,8.221872191278901,21985620.250383746,1.3239789779824204e-06
V010,vol_3.0res_5.5sl,3.0res,10.411296102315923,29809695.02414315,1.2546323210041221e-06
V010,vol_3.0res_8.0sl,3.0res,11.42551519644454,46404180.96141745,9.233040043987181e-07
V011,vol_2.0res_3.0sl,2.0res,5.802803158369295,7.071530395122466,6.121389169483654
V011,vol_2.0res_5.0sl,2.0res,6.886785431146295,6.937862347081779,6.163325162729816
V011,vol_2.0res_8.0sl,2.0res,7.7482370244608205,10.016715140126099,3.716081436575423
V011,vol_2.5res_3.0sl,2.5res,7.121257930465738,7.297851306725695,7.502416972422978
V011,vol_2.5res_5.0sl,2.5res,5.851231536681721,8.53816787393291,6.660899409319894
V011,vol_2.5res_8.0sl,2.5res,7.304397631728657,44748354.71198341,1.4472749103996623e-06
V011,vol_3.0res_3.5sl,3.0res,6.441170805675869,7.361135857846246,8.769747234839679
V011,vol_3.0res_5.5sl,3.0res,7.4393856859827485,7.813924901306059,7.424222215577348
V011,vol_3.0res_8.0sl,3.0res,8.531618967435834,11.586060370366106,6.07488759548592
